🇨🇳 央视,#genre#
一二年级高一,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000550
三四年级初一,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000549
五六年级初二,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000548
初中三年级,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000641
高二文理科,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000537
总平台测试1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100
滁州新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000081
滁州公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000083
滁州科教,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000085
东至新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000091
无为新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000093
早教,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000511

🇨🇳 综合,#genre#
兵器时代,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000053
风云音乐,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000037
第一剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000039
海豚生活,http://10.255.126.3:8006/AHBKLIVE/20201228000000000000000000000001
爱电影,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000107
爱大剧,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000146
爱综艺,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000104
爱体育,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000546
CGTN,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000148
卡酷动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000150
金鹰卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000151
嘉佳卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000448
CETV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000463
CETV2,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000251
CETV4,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000252
山东教育,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000248
财富天下,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000183
金鹰纪实,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000569
海豚少儿,http://10.255.126.3:8006/AHBKLIVE/97592ce7ed7f4a7da92fc5f5544ea533
海豚影视,http://10.255.126.3:8006/AHBKLIVE/71704296010c447ebe74acda9b75b920
海豚健康,http://10.255.126.3:8006/AHBKLIVE/3c535d767d474850bc1f9960a94a54fb
IPTV野外,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000262
IPTV法治,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000263
少儿动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000103
魅力时尚,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000106
收视指南,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000110
热播剧场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000108
经典电影,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000109
都市剧场,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000230
军旅剧场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000500
古装剧场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000501
喜剧影院,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000524
动作影院,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000525
家庭影院,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000526
音乐现场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000502
武侠剧场,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000523
爱生活,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000519
好学生,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000513
精选,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000505
国学,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000509
戏曲,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000510
安徽导视,http://10.255.126.3:8006/AHBKLIVE/11111120210408000000000000000035
动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000512
鉴赏,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000514
墨宝,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000515
光影,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000516
台球,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000518
美人,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000504
武术,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000520
高网,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000521
军事,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000507
地理,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000498
美妆,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000503
解密,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000506
星影,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000527
茶,http://10.255.126.3:8006/AHBKLIVE/ccfffb202e2e4795b85241af37abc8de
快乐垂钓,http://10.255.126.3:8006/AHBKLIVE/4d0ec3c7a7cf41458ce3c7e241f7ed7a
电视指南,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000059
央视精品,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000057
女性时尚,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000055
风云剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000041
风云足球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000051
高尔夫,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000049
央视台球,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000047
世界地理,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000045
怀旧剧场,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000043

电影,#genre#
电影线路1,http://mmitv.top/pltv/yy.php?id=1354888751
电影线路2,http://tx-screenshots.flv.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.m3u8
电影线路3,http://mmitv.top/pltv/yy.php?id=1351505899
电影线路4,http://epg.112114.xyz/douyu/8770422
电影线路5,http://epg.112114.xyz/douyu/6863367
电影线路6,http://mmitv.top/pltv/yy.php?id=1382749892
电影线路7,http://mmitv.top/pltv/yy.php?id=1382735573
电影线路8,http://mmitv.top/pltv/yy.php?id=24921161
电影线路9,http://mmitv.top/pltv/yy.php?id=1382736803
电影线路10,http://mmitv.top/pltv/yy.php?id=1354930924
电影线路11,http://mmitv.top/pltv/yy.php?id=1382745095
电影线路12,http://mmitv.top/pltv/yy.php?id=1355171357
电影线路13,http://mmitv.top/pltv/yy.php?id=24066336
电影线路14,http://mmitv.top/pltv/yy.php?id=1382749892
电影线路15,http://mmitv.top/pltv/yy.php?id=1382735573
电影线路16,http://mmitv.top/pltv/yy.php?id=24921161
电影线路17,http://mmitv.top/pltv/yy.php?id=1382736803
电影线路18,http://mmitv.top/pltv/yy.php?id=1382745095
电影线路19,http://mmitv.top/pltv/yy.php?id=1355171357
电影线路20,http://mmitv.top/pltv/yy.php?id=24066336
电影线路21,https://pull.kktv8.com/livekktv/99592190.flv
电影线路22,https://pull.kktv8.com/livekktv/99350550.flv
电影线路23,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
电影线路24,http://159.75.85.63:35455/douyu/2935323
电影线路25,http://159.75.85.63:35455/douyu/434971
电影线路26,http://159.75.85.63:35455/douyu/11553944
电影线路27,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
电影线路28,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
电影线路29,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8

历年春晚,#genre#
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4	
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4	
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4	
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8	
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8	
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8	
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4	
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8	
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8	
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8	
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8	
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8	
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8	
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8	
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8	
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8	
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8	
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8	
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8	
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8	
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8	
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8	
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8	
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8	
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8	
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8	
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8	
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4	
